stonk,shortRatio,entToRev,profitMargin,enterpriseToEbitda,revenueQuarterlyGrowth,sharesShortPreviousMonthDate,enterpriseValue,sharesShort,fiftyTwoWeekLow,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,allDataLabels,financialLabels,priceLabels
IRL,0.04,100.16,-2.8025799,0.0,0,1611878400,55621720,502,4.34,9.605319760152883,9.350407258803068,6.721664789798907,6.460710075211967,6.6759975060516545,7.679570371693925,7.980046543199233,8.432157964226704,8.278694681955905,8.095648203287205,8.843088249069812,10.016060977773597,-1,-1,0
NOK,0.3,0.0,-0.11545999,0.0,0,1611878400,23705835520,41223801,2.34,4.052380970546177,4.214210522802253,3.171363624659452,3.3771428607759018,3.701499998569489,4.4013636328957295,4.434545430270108,5.056666669391451,4.196666649409703,4.050000049851159,3.8359999895095824,4.045909133824435,0,0,0
PSA,3.24,16.328,0.45306998,23.862,0,1611878400,48910368768,2577026,155.37,209.7820453792439,216.60698341058762,199.17463934413962,191.7972068214269,180.62982233622557,195.1213334989113,189.98831238801517,198.9152666912674,216.26373403945243,230.37981216304692,229.1063360621081,225.59422857200204,-1,-1,-1
BIG,3.49,0.593,0.10149,6.91,0,1611878400,3674789120,4509004,10.13,27.42774257967266,24.965396249175182,15.005495419599411,19.020473337763306,29.748511216542873,36.91270040826648,40.42659253466009,49.51640684389777,47.34162572216936,51.236053451322135,50.098578300235125,47.2064468779376,1,1,0
DVD,0.21,1.805,0.19412000000000001,12.032,0,1611878400,69582576,26991,1.06,1.7911423946744363,1.7073569514402658,1.3975956663330564,1.2085974822788177,1.31278694241947,1.5086339212774802,1.4413115384613735,1.4101067748883056,1.4036950901524048,1.3962841910219943,1.8310491993352396,2.0481818209994924,1,2,0
DTE,1.55,3.612,0.11234000000000001,14.317,0,1611878400,43981017088,1588868,71.21,125.83618123067636,126.69663290967262,96.71839253734517,99.88382516965507,99.35911339719792,106.75516375853886,109.1353164744078,115.04893958863171,115.20672448314495,119.356707375398,128.62883439543512,122.3937744343276,-1,2,-1
ITM,0.0,0.0,0.0,0.0,0,0,0,0,35.77,49.61016086440292,50.15464218707772,48.25908430438426,48.09593374686125,48.83028439043103,50.08601989980057,50.72452272252799,51.219490265160864,50.89510971849942,50.652011754544525,51.116662819868715,51.74540794386155,2,2,0
IGM,0.0,0.0,0.0,0.0,0,0,0,0,183.27,252.3798737049931,259.68183930621814,217.77093115680188,230.09555828302018,255.56786697573372,275.159614625067,292.4550280906411,311.56824492553073,311.12603522618616,319.4283146056848,326.75128430103456,345.28203458451804,-1,3,-1
ONE,2.52,0.0,-0.24034001,0.0,0,1611878400,526212704,996715,2.85,6.729714302789597,5.715263115732293,5.321590943769976,4.555714300700597,4.632000005245208,4.073590939695185,4.179545478387312,4.414666698092506,4.4890476408458895,4.509090878746727,4.176500046253205,3.864090941169045,1,2,0
GME,0.27,3.7110000000000003,-0.053239997000000004,-148.047,0,1611878400,19157270528,14200138,2.57,5.058571406773159,4.099473702280145,4.226363648067821,4.865238121577671,4.901500010490418,4.777272701263428,4.260000012137674,4.980476220448812,8.948571500324068,12.94272739237005,13.067500019073488,17.36181809685447,1,2,0
LUV,1.9,3.859,-0.33973998,-8.754,0,1611878400,34920046592,16803667,22.47,55.216064365569146,55.766951793644026,41.450414457206776,32.873333158947176,28.80349988937378,36.56454571810636,33.63545443794944,35.57190504528227,39.659523555210654,40.14181813326749,45.07600021362305,47.18318176269531,1,2,0
FAT,0.13,14.335,-0.48266000000000003,-198.079,0,1611878400,241854208,12653,1.72,4.658761864616757,4.523210525512695,3.046000009233301,3.1550476210457936,3.3227999925613405,3.7332727475599814,3.4436363632028755,4.962047633670625,5.458333333333332,5.714454542506825,5.981499981880188,7.080454566261985,1,4,0
EGP,4.86,19.292,0.2985,30.625,0,1611878400,7003606016,837463,83.4,131.76545765855948,135.8223623010251,109.37007780856709,105.31021849083601,106.27119843826165,118.91285717929141,121.86457447338806,133.96063074950519,131.6172219045313,139.1993237708474,142.68005453993857,136.36403189997478,-1,-1,1
